name
Time
Latitude
Longitude
Speed
Course
Draft
Fuel_Consumption
Distance_Traveled
RPM
Slip
Wind_Speed
Wind_Direction
Swell_Height
Swell_Direction
Sea_State
Cargo_Weight
Ballast_Weight
Fresh_Water
Lube_Oil
